,PRICE,ROUNDED_NOTIONAL_AMOUNT_1,ACTION_CANCEL,ACTION_CORRECT,ACTION_NEW,TAXONOMY_Credit:Index:CDX:CDXHY,TAXONOMY_Credit:Index:CDX:CDXIG,PRICE_FORMING_CONTINUATION_DATA_Amendment,PRICE_FORMING_CONTINUATION_DATA_Novation,PRICE_FORMING_CONTINUATION_DATA_Partialtermination,PRICE_FORMING_CONTINUATION_DATA_Trade,CLEARED_C,CLEARED_U,INDICATION_OF_COLLATERALIZATION_FC,INDICATION_OF_COLLATERALIZATION_OC,INDICATION_OF_COLLATERALIZATION_PC,INDICATION_OF_COLLATERALIZATION_UC
156,0.668499984741211,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
172,0.668499984741211,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
286,0.476875,150.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
301,0.47875,85.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
302,0.68,62.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
317,0.678125,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
410,0.6780000305175782,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
413,0.6780000305175782,100.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
414,0.6780000305175782,100.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
426,0.6780000305175782,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
427,0.6780000305175782,25.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
443,0.6780000305175782,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
445,0.6779000091552735,40.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
501,0.68,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
520,0.685,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
521,0.685,50.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
522,0.685,50.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
529,1.056750030517578,5.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
547,0.6809999847412109,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
558,0.6815000152587891,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
580,1.0604000091552734,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
599,106.29000091552734,50.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
618,0.6569999694824219,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
624,0.6569999694824219,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
628,0.27625,5.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
629,0.27625,5.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
633,0.6569999694824219,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
671,1.0593000030517579,5.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
672,1.0593000030517579,5.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
721,0.66,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
722,0.66,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
732,0.27625,5.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
733,0.27625,5.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
747,0.5386000061035157,30.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
812,1.0730000305175782,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
813,1.0730000305175782,10.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
814,1.0730000305175782,10.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
843,0.528499984741211,0.2,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
866,0.5315000152587891,25.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
867,0.5315000152587891,25.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
869,0.5315000152587891,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
883,107.44999694824219,20.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
884,0.5315000152587891,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
885,0.5315000152587891,50.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
886,0.5347999954223632,30.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
895,0.5315000152587891,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
904,0.5347999954223632,30.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
928,106.0999984741211,25.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
929,0.52625,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
930,0.5270000076293946,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
